,iso3c,country,region,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,income
0,AFG,Afghanistan,South Asia,1990,-0.375684881551535,-1.4908205416331006,0.34644061084054145,1.3362974939369445,1.6905829596412554,-0.24108799197793934
1,AFG,Afghanistan,South Asia,1991,-0.37140072300789573,-1.4343232766540897,0.38625451578909337,1.3297812400480147,1.6502242152466366,-0.24108799197793934
2,AFG,Afghanistan,South Asia,1992,-0.3714007230078958,-1.3820257176779909,0.4390005320074608,1.3267435878591904,1.6053811659192823,-0.24108799197793934
3,AFG,Afghanistan,South Asia,1993,-0.36677080244766336,-1.334291827446326,0.49850268444511125,1.3269885598099018,1.560538116591928,-0.24108799197793934
4,AFG,Afghanistan,South Asia,1994,-0.3616414874013283,-1.2913742597068563,0.5561765955880061,1.3298792288282995,1.5246636771300448,-0.24108799197793934
5,AFG,Afghanistan,South Asia,1995,-0.35658139188359633,-1.2533401532177189,0.6059605244396615,1.3337987800396855,1.484304932735426,-0.24108799197793934
6,AFG,Afghanistan,South Asia,1996,-0.348785000522859,-1.2198255452373914,0.6450835091752671,1.3367874378383677,1.452914798206278,-0.24108799197793934
7,AFG,Afghanistan,South Asia,1997,-0.3583059671082466,-1.1897067449716616,0.6755494169843589,1.3366404546679407,1.4304932735426008,-0.24108799197793934
8,AFG,Afghanistan,South Asia,1998,-0.35192602740616874,-1.1618247254378158,0.7018795114798053,1.3314470493128536,1.390134529147982,-0.24108799197793934
9,AFG,Afghanistan,South Asia,1999,-0.35624828590909496,-1.1354179917737397,0.7309449351593499,1.3201293451899756,1.3677130044843049,-0.24108799197793934
10,AFG,Afghanistan,South Asia,2000,-0.3619236815175434,-1.1094405927998998,0.7675439595641235,1.3021484040077411,1.3497757847533634,-0.24108799197793934
11,AFG,Afghanistan,South Asia,2001,-0.36586749367915494,-1.0832423426479514,0.8132828114705111,1.2777981921070038,1.318385650224215,-0.24108799197793934
12,AFG,Afghanistan,South Asia,2002,-0.380463682202027,-1.0564645790046538,0.8660102391441106,1.2481565860708947,1.2914798206278024,-0.24108799197793934
13,AFG,Afghanistan,South Asia,2003,-0.3771095816485596,-1.0290754993003481,0.922288244345042,1.2142524680924034,1.2600896860986548,-0.24108799197793934
14,AFG,Afghanistan,South Asia,2004,-0.3774585086631126,-1.0007500106008609,0.9770324463876308,1.1761838269518141,1.2286995515695067,-0.24108799197793934
15,AFG,Afghanistan,South Asia,2005,-0.3708335858358742,-0.9717071972748773,1.0266808498550286,1.1333627299674187,1.1928251121076234,-0.24108799197793934
16,AFG,Afghanistan,South Asia,2006,-0.36706701070078995,-0.9423463582524122,1.0699070490023275,1.0846623061659442,1.1614349775784751,-0.24108799197793934
